"","text"
"1"," husband  told     crush  someone  met  work   worked  home since march   "
"2"," work  home        "
"3"," blame  brother  work    work  home   building  crappy ventilation"
"4","  son  since  dad died  stepped    many ways     helping   "
"5","valentine  day gifts  couples  work  home together"
"6","yeah  work  home"
"7","  got home  work  mom asked   heard  happened   said yeah    mentioned "
"8","people applied   state  hawaii  remote work program people applied  get  free trip  hawai   wor "
"9","boris johnson   january truly   everything  could    august cease   working  home "
"10","   infuriating     city spoke   dozen people     said  lived outside  five borou "
"11","thinking     staff students  parents  schools   home  virtual schooling    challenging "
"12"," people would say tools   poor substitute   person collaboration   therefore seen   nece "
"13"," well  hasn   inside  classroom  almost  year  goes   day camp  distance lea "
"14"," "
"15","one interesting artifact  everyone working  home   stark divide  see    find social  "
"16"," watched     got home  work"
"17","  complete insanity  based  scientific data  evidence    teacher   m embarras "
"18","stop staring   clock every day   time   new career follow us  view jobs  titles like lead prod "
"19","every time  come home early  work  first thing    parents say  oh  god   get fired  "
"20","hate   get  bomb diy ideas  get home  work    dark      mood   "
"21","tips  working  home   little one   "
"22","toe cheese  percentage  young adults  kids dying  lower yes however  happens wh "
"23"," bounces like    waiting   door   glimpse   coming home  work"
"24"," meetings suck   normal basis   work  home lockdown  re  mean    one tomorrow  "
"25","   problem  work  home ni   "
"26","   infuriating     city spoke   dozen people     said  lived outside  five b "
"27"," came home  work  find  wife bought     "
"28","failing  reach  agreement  chicago public schools  reopening conditions  week  chicago teachers union h "
"29","hey yall   m building  ig    work  home     first paid post     big deal   lol  "
"30","  job require   work  home ask people ss name address birthdate phone number   "
"31","discover  best remote jobs  work  home   "
"32","walking home   grocery store  female  several bags   hand     walking "
"33"," hate   days    work  make dinner  everyone   one comes home  work hungry   days  "
"34"," absolutely   get  fuckin vaccine   work  home first      e "
"35","learning lessons  lockdown   staying  home work studies    point  assume  net neutrality comes  law  "
"36","work  home"
"37","  said mindset    show emotion  wasn  referring   air   refer "
"38"," feel  sad   seniors  live   areas     deserve  see young people drunk fucking wit "
"39","  way home  work  different  brazil    said  wanted  move   place colder     missed snow     "
"40"," m tipsy  ending  virtual work  home day   glasses    much love everyone  "
"41","   cool tho  came  work   headache   told   go home  m good   rest   night  "
"42","quick reminder   camera   means others including  teacher  see  students amp  living situation "
"43","  allow corona virus stop   working   still work  home  make good income   "
"44"," moment  get home  work     "
"45","   everyday   way home  work     "
"46","  allow corona virus stop   working   still work  home  make good income    y "
"47","  allow corona virus stop   working   still work  home  make good income   "
"48","development   great field  work   many reasons  one   favourites     literally work  anywh "
"49"," miss scaring finance bros   subway   visibly goth  re    subway anymore bc  get  "
"50","good    big fan  joshuas  think  additio "
"51"," work  home   laptop   touchscreen  aggressively affectionate cats  yeah learne "
"52","faster maxbit internet speeds make  possible  staff  work  home   business  sales trips  fr "
"53","  allow corona virus stop   working   still work  home  make good income   "
"54","go fuck      confirmed  school district listed    confirmed case "
"55"," feel  sad   seniors  live   areas     deserve  see young people drunk fu "
"56","   package waiting   literally everyday   come home  work lol"
"57","wanted  go   run   started raining   way home  work   m  gonna take    sign  god       "
"58"," ve spent  phd learning  turns    work  home friendly science  also incessantly keep notes amp links    "
"59"," head  yahoo installing  nursery   office  telling    working parents     work  hom "
"60","   man texts    food order      way home  work gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt"
"61","  said hong kong  experienced  deteriorating security situation   months  said  bank   "
"62","  confirmed  school district listed    confirmed case  transmission  "
"63"," stream tonight  barley got  sleep last night   m definitely feeling    pretty much heading str "
"64","  biting question "
"65"," management  work   ace  gm told us     might  feeling    difficu "
"66","hmu   looking   job hr ot customer service financial rep   work  home till june  bacc  office "
"67","  confirmed  school district listed    confirmed case  transmission  "
"68","thats   used     get home  work    dark asf outside    dont wanna   shit"
"69","   work since    currently  hour away   home   already   hours   "
"70"," know   people    work  home  last year  lockdown flew    caribb "
"71","yeah    common argument healthcare providers take  oath  help sick people  certai "
"72"," teachers education workers live  areas without access   necessary interne "
"73","let  get  straight   mps earn k  year get subsidised food amp drinks  work  put  mortgage   "
"74"," remembered   mom  told    listened   song every night    driving home  "
"75","   reckon   fact  remote learning means moms disproportionately  lost "
"76"," wife    work  home   many   neighbors     home school  children   "
"77","thanks  letting  know  huskies   worst dogs     live   apartment  work  home "
"78","  friends   banking industry   saying  competitors  offering permanent work fro "
"79"," gyms  open  restrictions mandatory masks limi "
"80","  continue  work  home  may  finding  difficult  perfect  work life balance      things "
"81"," kansas city chiefs  going   super bowl  without offensive guard laurent duvernay tardif   took  year  fr "
"82"," buy  twats  bag  toy cars  let  work  home"
"83","  progress    people  home  hear  every day  work isn  done   shot    arm w "
"84","   stay  home protect  nhs save lives      please follow government advice  travel  work   cannot work "
"85"," going  lie    first thing  watched   got home  work "
"86","hello welcome home  work thank   joining us  need  fund  incredible project please  thank "
"87","  waiting     got home  work"
"88","assemble      sakes     go back   office  say   work   hospital "
"89","compared   first  one   easy finished   hour   commute home  work  "
"90","  northwest pa   pouring rain amp going     overnight glad  work  home"
"91","freelance recruiter   work  home   girls   female "
"92","yeah  edited  game  saving bc  bf got home  work    gonna play  cod  "
"93"," dead    whole concert   v omw home  work     "
"94","  dad would come home  work  knew    get  ass    chair     "
"95"," understand  many parents  struggling  remote learning due    inability  work  home  "
"96","  remember  commercial property owner  gameshow host hologram  anthropomorphic oil slick richard tice  "
"97","spontaneous item scavenger hunts   great  movement breaks  simple  key  never want  impose   par "
"98","  buy products  help strengthen  economy  create jobs  home  applaud president biden  "
"99"," took   hour amp  half  get home   usual commute  work  min dallas  please"
"100","sick  bart entrances  closed  re  discouraging anyone  riding  re  trying  fucking get  work  home"
"101","continue  work  home hybrid working happy working day      "
"102","   mean time    enough bandwidth  effectively work  home  rural areas  outside  ottawa"
"103","   cats  sleep  day    like helllo  m home  work    miss    "
"104","work  home day   "
"105","   lonely coming home  work  everyone   bed  "
"106","omd   smell  mom ran   skunk already dead   way home  work    car smells gloriou "
"107","sweeeet  get  work  home  rest   week thank  otitis media fever  covid rules"
"108","even  rangers  cup contenders  knicks couldn  buy  win   finding    radio "
"109","came home  work  shoveled  driveway   m hopping   shower stream next tweet   "
"110","  got fry sauce    work desk   anyone let  work  home"
"111","  make  return home  work even better"
"112","  pandemic  changed   bill  wifi  re forced  work   school work  home  "
"113","furlough money  m  right jack  many   middle classes  voted     able  w "
"114","   sob  entire way home  work maybe"
"115","re covid vaccination teachers  admins   grocery workers grocers  less insurance e "
"116"," m ready  come home  work   home cooked meal   babe  gotta find one"
"117","work  home     "
"118","wife brought home food  kids   last night  work  ll   tap  one   soon   "
"119","masks   great literally  one   subway could tell   bawling  fucking face    way home  work tonight yay"
"120","boutta start making beats every night  get home  work   fun"
"121","  exhausting  virtually impossible  work  home   c "
"122","  came home  work   tell   like  bullshit      accuses      "
"123"," love     snowing   way home  work    "
"124"," work  home posture   like"
"125","made intense eye contact   girl waiting outside  line   bar   walk home  work   think  f "
"126"," discovered today   saddest part  still   able  taste  smell    couldn  smell  "
