"","klasifikasi","score","text"
"1","Positif",1," husband  told     crush  someone  met  work   worked  home since march   "
"2","Positif",1," work  home        "
"3","Netral",0," blame  brother  work    work  home   building  crappy ventilation"
"4","Netral",0,"  son  since  dad died  stepped    many ways     helping   "
"5","Positif",1,"valentine  day gifts  couples  work  home together"
"6","Positif",1,"yeah  work  home"
"7","Positif",1,"  got home  work  mom asked   heard  happened   said yeah    mentioned "
"8","Positif",2,"people applied   state  hawaii  remote work program people applied  get  free trip  hawai   wor "
"9","Netral",0,"boris johnson   january truly   everything  could    august cease   working  home "
"10","Negatif",-1,"   infuriating     city spoke   dozen people     said  lived outside  five borou "
"11","Negatif",-1,"thinking     staff students  parents  schools   home  virtual schooling    challenging "
"12","Negatif",-1," people would say tools   poor substitute   person collaboration   therefore seen   nece "
"13","Positif",1," well  hasn   inside  classroom  almost  year  goes   day camp  distance lea "
"14","Netral",0," "
"15","Netral",0,"one interesting artifact  everyone working  home   stark divide  see    find social  "
"16","Positif",1," watched     got home  work"
"17","Negatif",-1,"  complete insanity  based  scientific data  evidence    teacher   m embarras "
"18","Positif",2,"stop staring   clock every day   time   new career follow us  view jobs  titles like lead prod "
"19","Positif",1,"every time  come home early  work  first thing    parents say  oh  god   get fired  "
"20","Negatif",-2,"hate   get  bomb diy ideas  get home  work    dark      mood   "
"21","Netral",0,"tips  working  home   little one   "
"22","Negatif",-1,"toe cheese  percentage  young adults  kids dying  lower yes however  happens wh "
"23","Positif",2," bounces like    waiting   door   glimpse   coming home  work"
"24","Netral",0," meetings suck   normal basis   work  home lockdown  re  mean    one tomorrow  "
"25","Netral",0,"   problem  work  home ni   "
"26","Negatif",-1,"   infuriating     city spoke   dozen people     said  lived outside  five b "
"27","Positif",1," came home  work  find  wife bought     "
"28","Negatif",-1,"failing  reach  agreement  chicago public schools  reopening conditions  week  chicago teachers union h "
"29","Positif",1,"hey yall   m building  ig    work  home     first paid post     big deal   lol  "
"30","Positif",1,"  job require   work  home ask people ss name address birthdate phone number   "
"31","Positif",2,"discover  best remote jobs  work  home   "
"32","Netral",0,"walking home   grocery store  female  several bags   hand     walking "
"33","Positif",1," hate   days    work  make dinner  everyone   one comes home  work hungry   days  "
"34","Positif",1," absolutely   get  fuckin vaccine   work  home first      e "
"35","Positif",1,"learning lessons  lockdown   staying  home work studies    point  assume  net neutrality comes  law  "
"36","Positif",1,"work  home"
"37","Netral",0,"  said mindset    show emotion  wasn  referring   air   refer "
"38","Negatif",-3," feel  sad   seniors  live   areas     deserve  see young people drunk fucking wit "
"39","Netral",0,"  way home  work  different  brazil    said  wanted  move   place colder     missed snow     "
